Date,Open,High,Low,Close,Adj Close,Volume
2021-08-06,19.700001,19.700001,19.700001,19.700001,17.857792,0
2021-08-09,19.650000,19.650000,19.650000,19.650000,17.812466,0
2021-08-10,19.400000,19.400000,19.400000,19.400000,17.585844,0
2021-08-11,19.350000,19.350000,19.350000,19.350000,17.540520,0
2021-08-12,19.190001,19.190001,19.190001,19.190001,17.395485,0
2021-08-13,19.309999,19.309999,19.309999,19.309999,17.504261,0
2021-08-16,19.200001,19.200001,19.200001,19.200001,17.404549,0
2021-08-17,18.790001,18.790001,18.790001,18.790001,17.032888,0
2021-08-18,18.540001,18.540001,18.540001,18.540001,16.806269,0
2021-08-19,18.770000,18.770000,18.770000,18.770000,17.014757,0
2021-08-20,19.070000,19.070000,19.070000,19.070000,17.286703,0
2021-08-23,19.680000,19.680000,19.680000,19.680000,17.839661,0
2021-08-24,19.709999,19.709999,19.709999,19.709999,17.866856,0
2021-08-25,19.940001,19.940001,19.940001,19.940001,18.075348,0
2021-08-26,19.969999,19.969999,19.969999,19.969999,18.102541,0
2021-08-27,20.350000,20.350000,20.350000,20.350000,18.447006,0
2021-08-30,20.410000,20.410000,20.410000,20.410000,18.501398,0
2021-08-31,20.139999,20.139999,20.139999,20.139999,18.256643,0
2021-09-01,20.059999,20.059999,20.059999,20.059999,18.184124,0
2021-09-02,20.129999,20.129999,20.129999,20.129999,18.247580,0
2021-09-03,20.299999,20.299999,20.299999,20.299999,18.401682,0
2021-09-07,20.209999,20.209999,20.209999,20.209999,18.320099,0
2021-09-08,19.940001,19.940001,19.940001,19.940001,18.075348,0
2021-09-09,20.020000,20.020000,20.020000,20.020000,18.147867,0
2021-09-10,20.200001,20.200001,20.200001,20.200001,18.311035,0
2021-09-13,20.320000,20.320000,20.320000,20.320000,18.419811,0
2021-09-14,20.309999,20.309999,20.309999,20.309999,18.410748,0
2021-09-15,20.430000,20.430000,20.430000,20.430000,18.519526,0
2021-09-16,20.459999,20.459999,20.459999,20.459999,18.546719,0
2021-09-17,20.170000,20.170000,20.170000,20.170000,18.283840,0
2021-09-20,19.620001,19.620001,19.620001,19.620001,17.785273,0
2021-09-21,19.700001,19.700001,19.700001,19.700001,17.857792,0
2021-09-22,20.170000,20.170000,20.170000,20.170000,18.283840,0
2021-09-23,20.510000,20.510000,20.510000,20.510000,18.592045,0
2021-09-24,20.450001,20.450001,20.450001,20.450001,18.537657,0
2021-09-27,20.360001,20.360001,20.360001,20.360001,18.456074,0
2021-09-28,19.549999,19.549999,19.549999,19.549999,17.721815,0
2021-09-29,19.219999,19.219999,19.219999,19.219999,17.422678,0
2021-09-30,19.250000,19.250000,19.250000,19.250000,17.449873,0
2021-10-01,19.250000,19.250000,19.250000,19.250000,17.449873,0
2021-10-04,18.670000,18.670000,18.670000,18.670000,16.924109,0
2021-10-05,19.030001,19.030001,19.030001,19.030001,17.250446,0
2021-10-06,19.170000,19.170000,19.170000,19.170000,17.377352,0
2021-10-07,19.440001,19.440001,19.440001,19.440001,17.622103,0
2021-10-08,19.240000,19.240000,19.240000,19.240000,17.440804,0
2021-10-11,19.070000,19.070000,19.070000,19.070000,17.286703,0
2021-10-12,18.889999,18.889999,18.889999,18.889999,17.123535,0
2021-10-13,18.990000,18.990000,18.990000,18.990000,17.214186,0
2021-10-14,19.570000,19.570000,19.570000,19.570000,17.739948,0
2021-10-15,19.670000,19.670000,19.670000,19.670000,17.830597,0
2021-10-18,19.900000,19.900000,19.900000,19.900000,18.039089,0
2021-10-19,20.110001,20.110001,20.110001,20.110001,18.229452,0
2021-10-20,20.049999,20.049999,20.049999,20.049999,18.175060,0
2021-10-21,20.320000,20.320000,20.320000,20.320000,18.419811,0
2021-10-22,20.120001,20.120001,20.120001,20.120001,18.238514,0
2021-10-25,20.330000,20.330000,20.330000,20.330000,18.428877,0
2021-10-26,20.549999,20.549999,20.549999,20.549999,18.628304,0
2021-10-27,20.360001,20.360001,20.360001,20.360001,18.456074,0
2021-10-28,20.889999,20.889999,20.889999,20.889999,18.936510,0
2021-10-29,21.110001,21.110001,21.110001,21.110001,19.135937,0
2021-11-01,21.590000,21.590000,21.590000,21.590000,19.571051,0
2021-11-02,21.920000,21.920000,21.920000,21.920000,19.870193,0
2021-11-03,22.139999,22.139999,22.139999,22.139999,20.069618,0
2021-11-04,23.309999,23.309999,23.309999,23.309999,21.130207,0
2021-11-05,23.520000,23.520000,23.520000,23.520000,21.320572,0
2021-11-08,23.799999,23.799999,23.799999,23.799999,21.574387,0
2021-11-09,23.760000,23.760000,23.760000,23.760000,21.538126,0
2021-11-10,23.070000,23.070000,23.070000,23.070000,20.912651,0
2021-11-11,23.600000,23.600000,23.600000,23.600000,21.393089,0
2021-11-12,23.709999,23.709999,23.709999,23.709999,21.492802,0
2021-11-15,23.680000,23.680000,23.680000,23.680000,21.465609,0
2021-11-16,24.020000,24.020000,24.020000,24.020000,21.773813,0
2021-11-17,23.799999,23.799999,23.799999,23.799999,21.574387,0
2021-11-18,24.440001,24.440001,24.440001,24.440001,22.154539,0
2021-11-19,24.700001,24.700001,24.700001,24.700001,22.390224,0
2021-11-22,24.320000,24.320000,24.320000,24.320000,22.045759,0
2021-11-23,24.209999,24.209999,24.209999,24.209999,21.946047,0
2021-11-24,24.610001,24.610001,24.610001,24.610001,22.308641,0
2021-11-26,23.840000,23.840000,23.840000,23.840000,21.610647,0
2021-11-29,24.920000,24.920000,24.920000,24.920000,22.589653,0
2021-11-30,24.430000,24.430000,24.430000,24.430000,22.145475,0
2021-12-01,24.150000,24.150000,24.150000,24.150000,21.891659,0
2021-12-02,24.280001,24.280001,24.280001,24.280001,22.009501,0
2021-12-03,24.320000,24.320000,24.320000,24.320000,22.045759,0
2021-12-06,24.129999,24.129999,24.129999,24.129999,21.873528,0
2021-12-07,25.490000,25.490000,25.490000,25.490000,23.106350,0
2021-12-08,25.240000,25.240000,25.240000,25.240000,22.879726,0
2021-12-09,24.639999,24.639999,24.639999,24.639999,22.335835,0
2021-12-10,24.780001,24.780001,24.780001,24.780001,22.462744,0
2021-12-13,23.959999,23.959999,23.959999,23.959999,21.719423,0
2021-12-14,23.850000,23.850000,23.850000,23.850000,21.619711,0
2021-12-15,24.840000,24.840000,24.840000,24.840000,22.517134,0
2021-12-16,23.680000,23.680000,23.680000,23.680000,21.465609,0
2021-12-17,22.639999,22.639999,22.639999,22.639999,21.384377,0
2021-12-20,22.480000,22.480000,22.480000,22.480000,21.233252,0
2021-12-21,23.280001,23.280001,23.280001,23.280001,21.988884,0
2021-12-22,23.559999,23.559999,23.559999,23.559999,22.253353,0
2021-12-23,23.719999,23.719999,23.719999,23.719999,22.404478,0
2021-12-27,24.490000,24.490000,24.490000,24.490000,23.131777,0
2021-12-28,24.150000,24.150000,24.150000,24.150000,22.810633,0
2021-12-29,24.129999,24.129999,24.129999,24.129999,22.791740,0
2021-12-30,23.870001,23.870001,23.870001,23.870001,22.546162,0
2021-12-31,23.840000,23.840000,23.840000,23.840000,22.517824,0
2022-01-03,24.290001,24.290001,24.290001,24.290001,22.942867,0
2022-01-04,24.040001,24.040001,24.040001,24.040001,22.706736,0
2022-01-05,23.030001,23.030001,23.030001,23.030001,21.752747,0
2022-01-06,23.240000,23.240000,23.240000,23.240000,21.951101,0
2022-01-07,22.510000,22.510000,22.510000,22.510000,21.261587,0
2022-01-10,22.559999,22.559999,22.559999,22.559999,21.308813,0
2022-01-11,23.040001,23.040001,23.040001,23.040001,21.762194,0
2022-01-12,23.139999,23.139999,23.139999,23.139999,21.856647,0
2022-01-13,22.400000,22.400000,22.400000,22.400000,21.157688,0
2022-01-14,22.870001,22.870001,22.870001,22.870001,21.601622,0
2022-01-18,21.840000,21.840000,21.840000,21.840000,20.628746,0
2022-01-19,21.200001,21.200001,21.200001,21.200001,20.024240,0
2022-01-20,20.469999,20.469999,20.469999,20.469999,19.334726,0
2022-01-21,20.090000,20.090000,20.090000,20.090000,18.975801,0
